Date,Day_name,Open,Gap_Point,Gap_Point(%),Open_Gap_Type,Remarks,Gap_Fill_Point,Gap_Fill_Point%,Low,High,Day_Range,Close,Day_Range(%)
2021-04-28,Wednesday,32874,132,0.4,"MEDIUM GAP UP","NOT FILL",-40.1,-30.37,32833.9,33764.9,931,33696.2,2.76
2021-04-27,Tuesday,32238,-64.5,-0.2,"FLAT DOWN","GAP FILL UP",546.7,846.94,32150.05,32784.7,634.65,32741.95,1.94
2021-04-26,Monday,32221.2,511.6,1.61,"BIG GAP UP","NOT FILL",-70.65,-13.81,32150.55,32624.95,474.4,32302.55,1.47
2021-04-23,Friday,31505,-257.8,-0.81,"BIG GAP DOWN","GAP FILL UP",664.9,257.86,31376.4,32169.9,793.5,31709.6,2.5
2021-04-22,Thursday,30798.55,-322,-1.03,"BIG GAP DOWN","GAP FILL UP",1025.2,318.39,30588.95,31823.75,1234.8,31762.85,3.89
2021-04-20,Tuesday,31589,349.3,1.12,"BIG GAP UP","NOT FILL",-672,-192.38,30917,31784.3,867.3,31120.55,2.79
2021-04-19,Monday,31105.25,-970.4,-3.03,"BIG GAP DOWN","NOT FILL",232.25,23.93,30451.6,31337.5,885.9,31239.7,2.84
2021-04-16,Friday,32260,53,0.16,"FLAT UP","NOT FILL",-273.55,-515.65,31986.45,32439.2,452.75,32075.65,1.41
2021-04-15,Thursday,31950.2,84.6,0.27,"FLAT UP","NOT FILL",-500.2,-591.25,31450,32294.6,844.6,32206.95,2.62
2021-04-13,Tuesday,31002.05,132.8,0.43,"MEDIUM GAP UP","NOT FILL",-222.9,-167.85,30779.15,32019.9,1240.75,31865.6,3.89
2021-04-12,Monday,31821,-796.5,-2.44,"BIG GAP DOWN","NOT FILL",79,9.92,30610,31900,1290,30869.25,4.18
2021-04-09,Friday,32312,-633.7,-1.92,"BIG GAP DOWN","GAP FILL UP",862,136.03,32251.25,33174,922.75,32617.55,2.83
2021-04-08,Thursday,33331,179.6,0.54,"MEDIUM GAP UP","NOT FILL",-479.5,-266.98,32851.5,33489.95,638.45,32945.7,1.94
2021-04-07,Wednesday,32560.35,-131.2,-0.4,"MEDIUM GAP DOWN","GAP FILL UP",809.65,617.11,32298.3,33370,1071.7,33151.4,3.23
2021-04-06,Tuesday,33021,203.8,0.62,"MEDIUM GAP UP","NOT FILL",-559.35,-274.39,32461.65,33175,713.35,32691.55,2.18
2021-04-05,Monday,33925,-230.2,-0.67,"MEDIUM GAP DOWN","NOT FILL",74,32.15,32412,33999,1587,32817.15,4.84
2021-04-01,Thursday,33693,214.6,0.64,"MEDIUM GAP UP","NOT FILL",-302.95,-141.2,33390.05,34250,859.95,34155.2,2.52
2021-03-31,Wednesday,33939.65,-107.2,-0.31,"FLAT DOWN","NOT FILL",6.2,5.79,33266.3,33945.85,679.55,33478.45,2.03
2021-03-30,Tuesday,33915.2,330.5,0.98,"BIG GAP UP","NOT FILL",-221.6,-67.05,33693.6,34180,486.4,34046.8,1.43
2021-03-26,Friday,33750,743.6,2.25,"BIG GAP UP","NOT FILL",-413.25,-55.58,33336.75,33834.4,497.65,33584.7,1.48
2021-03-25,Thursday,33408.45,50.1,0.15,"FLAT UP","NOT FILL",-1016.8,-2027.52,32391.65,33590,1198.35,33006.45,3.63
2021-03-24,Wednesday,33888.85,-355.2,-1.04,"BIG GAP DOWN","NOT FILL",127.85,35.99,33254.9,34016.7,761.8,33358.3,2.28
2021-03-23,Tuesday,33760,74.8,0.22,"FLAT UP","NOT FILL",-125,-167.11,33635,34424.9,789.9,34244.05,2.31
2021-03-22,Monday,34035.3,-170.3,-0.5,"MEDIUM GAP DOWN","GAP FILL UP",154.6,90.78,33413,34189.9,776.9,33685.2,2.31
2021-03-19,Friday,33600.3,-287.9,-0.85,"BIG GAP DOWN","GAP FILL UP",849.7,295.09,33380.05,34450,1069.95,34205.6,3.13
2021-03-18,Thursday,34579.8,219.2,0.64,"MEDIUM GAP UP","NOT FILL",-911.25,-415.81,33668.55,34820,1151.45,33888.25,3.4
2021-03-17,Wednesday,34900,-23.4,-0.07,"FLAT DOWN","GAP FILL UP",284.15,1214.32,34230.25,35184.15,953.9,34360.65,2.78
2021-03-16,Tuesday,35425,120.3,0.34,"MEDIUM GAP UP","NOT FILL",-635,-527.85,34790,35494,704,34923.4,2.02
2021-03-15,Monday,35485.5,-36.6,-0.1,"FLAT DOWN","GAP FILL UP",58.5,159.84,34455,35544,1089,35304.7,3.08
2021-03-12,Friday,36505.25,497.5,1.38,"BIG GAP UP","NOT FILL",-1298.7,-261.05,35206.55,36554,1347.45,35522.1,3.79
2021-03-10,Wednesday,36244,311.1,0.87,"BIG GAP UP","NOT FILL",-428,-137.6,35816,36244,428,36007.75,1.19
2021-03-09,Tuesday,35668,351.9,1,"BIG GAP UP","NOT FILL",-64,-18.18,35604,36154,550,35932.95,1.53
2021-03-08,Monday,35501.05,213.1,0.6,"MEDIUM GAP UP","NOT FILL",-401.05,-188.2,35100,35888.5,788.5,35316.05,2.23
2021-03-05,Friday,35500,-379.8,-1.06,"BIG GAP DOWN","NOT FILL",160,42.13,34887.9,35660,772.1,35287.95,2.19
2021-03-04,Thursday,35726.25,-765.5,-2.1,"BIG GAP DOWN","GAP FILL UP",695,90.79,35530,36421.25,891.25,35879.75,2.48
2021-03-03,Wednesday,35750,295.2,0.83,"BIG GAP UP","NOT FILL",-83.2,-28.19,35666.8,36580.95,914.15,36491.75,2.51
2021-03-02,Tuesday,35460.05,135.5,0.38,"MEDIUM GAP UP","NOT FILL",-477,-352.03,34983.05,35754.8,771.75,35454.85,2.18
2021-03-01,Monday,35350,479.7,1.38,"BIG GAP UP","NOT FILL",-366.95,-76.5,34983.05,35615,631.95,35324.55,1.79
2021-02-26,Friday,36000,-549,-1.5,"BIG GAP DOWN","NOT FILL",80,14.57,34660,36080,1420,34870.35,4.07
2021-02-25,Thursday,36502,33.3,0.09,"FLAT UP","NOT FILL",-19.65,-59.01,36482.35,37243.4,761.05,36549,2.08
2021-02-24,Wednesday,35090,-29.8,-0.08,"FLAT DOWN","GAP FILL UP",731.4,2450.25,35035,35821.4,786.4,36468.7,2.16
2021-02-23,Tuesday,35580,325.4,0.92,"BIG GAP UP","NOT FILL",-591.25,-181.67,34988.75,35714.95,726.2,35119.85,2.07
2021-02-22,Monday,35622.35,-227.5,-0.63,"MEDIUM GAP DOWN","GAP FILL UP",493.65,217.04,35075,36116,1041,35254.55,2.95
2021-02-19,Friday,36402,-201.3,-0.55,"MEDIUM GAP DOWN","GAP FILL UP",278,138.1,35570.25,36680,1109.75,35849.8,3.1
