Date,Open,High,Low,Close,Volume
8/25/2020,22965,23168.65,22825,23078.15,6.33
8/24/2020,22327.25,22944.85,22327.2,22826.4,5
8/21/2020,22155.55,22378,22118.05,22282.8,3.87
8/20/2020,22022,22090,21765.3,21964.25,5.4
8/19/2020,22293,22466.15,22212.7,22307.3,4.8
8/18/2020,21745,22272.95,21627.2,22198.2,6.23
8/17/2020,21900,21925,21394,21734,5.76
8/14/2020,22300.1,22318,21436,21668.8,7.12
8/13/2020,22401,22443.95,22122.5,22189.5,4.93
8/12/2020,22122.35,22385,22000.6,22316.3,5.6
8/11/2020,21900,22345,21900,22296.35,5.42
8/10/2020,21851,22099,21802,21956.35,5.43
8/7/2020,21600,21835,21435.5,21771.35,6.29
8/6/2020,21685,21969,21370,21641.95,8.28
8/5/2020,21699,21999.9,21464.05,21559,8
8/4/2020,21299.95,21633,21106.05,21551.85,7.25
8/3/2020,21480,21549.7,21085.35,21165.9,6.24
7/31/2020,21647.85,21827.6,21400.65,21691.5,7.75
7/30/2020,22090,22259.8,21562.2,21646.85,6.13
7/29/2020,22086.95,22440,21964.15,22129.6,6.93
7/28/2020,21921.5,22306.95,21630.05,22176.5,7.98
7/27/2020,22620.2,22647.55,21818.8,21859.35,7.19
7/24/2020,22850,22901.05,22321,22611.3,6.73
7/23/2020,22765.35,23140,22703.5,23095.25,5.67
7/22/2020,23124.95,23148.55,22573.7,22803.8,7.17
7/21/2020,22620,22899.7,22512,22815.75,5.97
7/20/2020,22230.95,22474,22122.35,22287.3,6.81
7/17/2020,21459.45,22081,21459.45,21971.1,7.6
7/16/2020,21400,21647.5,21025.05,21571.3,7.75
7/15/2020,21645.2,21940,21212.1,21320.95,8.2
7/14/2020,21942.5,21944,21212.9,21396.5,7.76
7/13/2020,22625,22664.4,22028,22174.55,6.31
7/10/2020,22755.65,22820,22325.4,22435.85,7.05
7/9/2020,22719.25,22980,22650,22908.1,6.01
7/8/2020,22618,23118.25,22532.85,22610.75,8.32
7/7/2020,22209.95,22656,22000.9,22603.3,8.42
7/6/2020,22201,22444,22141.05,22226.3,6.07
7/3/2020,22149,22162.05,21750,21843.9,6.33
7/2/2020,22080.8,22289.65,21827.05,21977.3,8.31
7/1/2020,21190,22014,21155,21930.45,8.28
6/30/2020,21443,21553.2,21036,21213.85,6.91
6/29/2020,21251,21325.9,20886.35,21235.2,7.63
6/26/2020,21599.95,21717,21167.05,21462.15,8.37
6/25/2020,21174.9,21717.7,20906.4,21506.15,7.88
6/24/2020,22494.85,22494.85,21300.3,21400.6,8.66
6/23/2020,21779.25,22360,21622.15,22291.75,7.33
6/22/2020,21450,22126.85,21351.25,21697,8.32
6/19/2020,20890,21464.2,20826,21308.85,8.51
6/18/2020,20080,20975,19977.2,20912.65,8.21
6/17/2020,20048.6,20620.5,19916.95,20147.55,9.08
6/16/2020,20503,20635,19435.8,20254.35,10.65
6/15/2020,20405.7,20430.2,19655,19911.5,8.64
6/12/2020,19555,20728,19555,20624.5,10.52
6/11/2020,20917.65,21239.65,20443,20508.85,8.14
6/10/2020,20685,21300,20640,21119.4,8.66
6/9/2020,21201.05,21590,20576,20677.85,8.82
6/8/2020,21685.35,21775,20870.4,21161.6,8.34
6/5/2020,20431,21192.45,20388,21016.4,8.67
6/4/2020,20862.65,21080,20233.3,20379.95,9.36
6/3/2020,20935,21611.55,20739.2,20882.4,9.36
6/2/2020,19880,20584,19750,20466.35,7.51
6/1/2020,19490.35,20179.8,19450,19894.1,7.32
